Symbol,DaysBetterThanSP,daysProfit,Year,Month,Day,dayOfWeek,NameLength,LastSale,MarketCap,Sector,Industry,CEOAge,CEOGender,City,stateCountry,netIncome,employees,IPOafterXYears,MarketMonthTrend,Market3MonthTrend,Market6MonthTrend,MarketYearTrend,USACompany,FiscalMonth,Profitable,Safe,HomeRun
TRUP,109,6,2014,7,18,4,15,27.4,825514789.8,Health Care,Medical Specialities,47,male, Seattle, WA,-1500000.0,523,14,1.048647245,1.3741695680000001,1.712106212,1.793758543,Yes,Dec,0,0,0
TRVN,115,59,2014,1,31,4,13,1.56,104444248.0,Health Care,Major Pharmaceuticals,59,female, Chesterbrook, PA,-71870000.0,51,7,-1.7342464290000001,-0.8804950999999999,0.5011026510000001,1.1133815009999999,Yes,Dec,0,0,0
TSBK,98,153,1998,1,13,1,24,31.58,233001250.7,Finance,Banks,61,male, Hoquiam, WA,14170000.0,274,1,-0.214082491,0.111103719,0.401300865,0.9792269,Yes,Sep,1,0,0
TSC,114,223,2013,5,9,3,31,23.8,688094318.8,Finance,Major Banks,70,male, Pittsburgh, PA,37990000.0,230,7,1.630290246,2.193934334,1.848890685,2.23940174,Yes,Dec,1,0,0
TSCAP,16,25,2018,3,19,0,31,26.0,0.0,Finance,Major Banks,70,male, Pittsburgh, PA,37990000.0,230,12,-0.735292682,-0.389035181,0.581912167,1.239564457,Yes,Dec,0,0,0
TSE,131,72,2014,6,12,3,12,77.95,3373714975.0,Basic Industries,Major Chemicals,61,male, Berwyn, PA,328300000.0,2214,4,0.710775275,1.602791492,1.817218609,1.647278105,Yes,Dec,0,1,0
TSG,20,262,2010,10,6,2,20,28.0,4160871372.0,Technology,"Computer Software: Programming, Data Processing",42,male, Toronto, Canada,336480000.0,2110,6,1.591532656,1.929162351,0.9678105359999999,1.155395332,No,Dec,1,0,0
TSLA,129,257,2010,6,29,1,12,291.21,49191176019.0,Capital Goods,Auto Manufacturing,45,male, Palo Alto, CA,-1960000000.0,37543,7,-2.027833413,-1.816929615,-1.992037911,-0.596785264,Yes,Dec,1,0,0
TSRO,135,251,2012,6,28,3,12,55.51,3042038814.0,Health Care,Major Pharmaceuticals,59,male, Waltham, MA,-496130000.0,715,2,0.38386982299999994,-0.6071514720000001,-0.443005341,0.535242029,Yes,Dec,1,1,1
TST,98,1,1999,5,11,1,15,1.82,89519775.8,Consumer Services,Newspapers/Magazines,52,male, New York, NY,2630000.0,597,3,0.839300863,1.363729297,1.643025755,1.82248763,Yes,Dec,0,0,0
